child,n_episodes,obs_window,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,subcorpus,corpus_label
Adam,6707,35.26281208935612,0.0400006798695883,0.017197521794884,0.0200208954035123,Brown,Brown
Eve,1570,3.0,-0.0524326462671159,0.0325670616932095,0.1074000219018531,Brown,Brown
Sarah,6682,33.82128777923784,0.0569823841338013,0.0176293341617006,0.0012282031353625,Brown,Brown
Anne,6175,8.835742444152437,0.0223894111472092,0.0190357937394393,0.2395252368996021,Manchester,Manchester
Aran,5762,10.85413929040736,0.0415507517204555,0.024451515349971,0.0892604260855551,Manchester,Manchester
Becky,2415,10.13140604467806,-0.0209958013248907,0.0390651654730368,0.5909527806442154,Manchester,Manchester
Carl,5983,8.295663600525625,-0.0158254337827555,0.0316216331255752,0.6167496280071572,Manchester,Manchester
Dominic,1575,8.90144546649146,0.0216702013226567,0.0362183573530846,0.5496258124484094,Manchester,Manchester
Gail,1526,10.770039421813408,0.0174597259082641,0.0319434975833178,0.5846662584345663,Manchester,Manchester
Joel,3532,9.967148488830482,0.0123370748538913,0.0287750280926416,0.668110694484777,Manchester,Manchester
John,14831,10.36136662286465,-0.0225534643236917,0.0229711353498777,0.3261897299296196,Manchester,Manchester
Liz,8212,10.361366622864654,-0.0151215011655992,0.0501806230110123,0.7631541445425898,Manchester,Manchester
Ruth,9241,11.52562417871222,-0.0125286334255981,0.0360646047566231,0.7282952128288588,Manchester,Manchester
Warren,18281,9.55847568988174,-0.0223869254633224,0.0178839391089182,0.2106466124803416,Manchester,Manchester
Abigail,4296,31.967148488830485,0.0489670045257805,0.0327905517136958,0.1353517046000864,UK_short_observation (n_files<30),English-UK
Eleanor,43709,12.919842312746384,0.0185679481731334,0.0171497657350177,0.2789442755931474,UK_long_longitudinal (n_files≥30),English-UK
Frances,1451,28.16425755584757,-0.0004158226300323,0.0324153039897934,0.9897650394560642,UK_short_observation (n_files<30),English-UK
Fraser,13062,12.967148488830484,4.472873522872974e-05,0.0122445431531963,0.9970853720350698,UK_long_longitudinal (n_files≥30),English-UK
Geoffrey,1853,29.7700394218134,0.0507985002454037,0.0266278321856036,0.0564271617008817,UK_short_observation (n_files<30),English-UK
Helen,515,24.42706964520368,0.1393509400709634,0.0221970117467376,3.4314469583882147e-10,UK_long_longitudinal (n_files≥30),English-UK
Jack,401,32.96714848883048,0.0112869058533567,0.0390235118363477,0.772402718293309,UK_short_observation (n_files<30),English-UK
Jason,320,17.7227332457293,0.0788506539378073,0.0403760448438525,0.0508306356808585,UK_short_observation (n_files<30),English-UK
Jonathan,240,19.50722733245729,0.085680576612784,0.059134744666222,0.1473643536691933,UK_short_observation (n_files<30),English-UK
Laura,588,9.229960578186596,0.1417570009488882,0.0675606370421777,0.0358858187841972,UK_short_observation (n_files<30),English-UK
Neville,1330,17.657030223390276,-0.0304360070978027,0.0288401143103461,0.2912717418942118,UK_short_observation (n_files<30),English-UK
Nicole,1564,8.26281208935611,0.0855125347225032,0.0211341581676276,5.20609796303451e-05,UK_long_longitudinal (n_files≥30),English-UK
Penny,357,8.68988173455979,0.0416182640294154,0.0612805667997161,0.4970473000531542,UK_short_observation (n_files<30),English-UK
Samantha,1386,15.40867279894875,-0.0276872793559952,0.0597968962307105,0.643348587436859,UK_short_observation (n_files<30),English-UK
Sean,4918,15.37582128777924,0.0508668401930343,0.0380796960404061,0.1816148056262366,UK_short_observation (n_files<30),English-UK
Stella,1484,0.0,0.0870643240029002,0.035768006152786,0.0149272323935275,UK_short_observation (n_files<30),English-UK
Thomas,166827,35.26281208935611,0.0161079297080085,0.015717940196712,0.3054520238794156,UK_long_longitudinal (n_files≥30),English-UK
NewmanRatner07,853,0.0,0.020830648674447824,0.011977734472107579,0.0820146690118582,NA_long_longitudinal,NA-Pool-other
