child,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,subcorpus,corpus_label,n_episodes
Adam,0.0400006798695883,0.017197521794884,0.0200208954035123,Brown,Brown,6707
Eve,-0.0524326462671159,0.0325670616932095,0.1074000219018531,Brown,Brown,1570
Sarah,0.0569823841338013,0.0176293341617006,0.0012282031353625,Brown,Brown,6682
Anne,0.0223894111472092,0.0190357937394393,0.2395252368996021,Manchester,Manchester,6175
Aran,0.0415507517204555,0.024451515349971,0.0892604260855551,Manchester,Manchester,5762
Becky,-0.0209958013248907,0.0390651654730368,0.5909527806442154,Manchester,Manchester,2415
Carl,-0.0158254337827555,0.0316216331255752,0.6167496280071572,Manchester,Manchester,5983
Dominic,0.0216702013226567,0.0362183573530846,0.5496258124484094,Manchester,Manchester,1575
Gail,0.0174597259082641,0.0319434975833178,0.5846662584345663,Manchester,Manchester,1526
Joel,0.0123370748538913,0.0287750280926416,0.668110694484777,Manchester,Manchester,3532
John,-0.0225534643236917,0.0229711353498777,0.3261897299296196,Manchester,Manchester,14831
Liz,-0.0151215011655992,0.0501806230110123,0.7631541445425898,Manchester,Manchester,8212
Ruth,-0.0125286334255981,0.0360646047566231,0.7282952128288588,Manchester,Manchester,9241
Warren,-0.0223869254633224,0.0178839391089182,0.2106466124803416,Manchester,Manchester,18281
Abigail,0.0489670045257805,0.0327905517136958,0.1353517046000864,UK_short_observation (n_files<30),English-UK,4296
Eleanor,0.0185679481731334,0.0171497657350177,0.2789442755931474,UK_long_longitudinal (n_files≥30),English-UK,43709
Frances,-0.0004158226300323,0.0324153039897934,0.9897650394560642,UK_short_observation (n_files<30),English-UK,1451
Fraser,4.472873522872974e-05,0.0122445431531963,0.9970853720350698,UK_long_longitudinal (n_files≥30),English-UK,13062
Geoffrey,0.0507985002454037,0.0266278321856036,0.0564271617008817,UK_short_observation (n_files<30),English-UK,1853
Helen,0.1393509400709634,0.0221970117467376,3.4314469583882147e-10,UK_long_longitudinal (n_files≥30),English-UK,515
Jack,0.0112869058533567,0.0390235118363477,0.772402718293309,UK_short_observation (n_files<30),English-UK,401
Jason,0.0788506539378073,0.0403760448438525,0.0508306356808585,UK_short_observation (n_files<30),English-UK,320
Jonathan,0.085680576612784,0.059134744666222,0.1473643536691933,UK_short_observation (n_files<30),English-UK,240
Laura,0.1417570009488882,0.0675606370421777,0.0358858187841972,UK_short_observation (n_files<30),English-UK,588
Neville,-0.0304360070978027,0.0288401143103461,0.2912717418942118,UK_short_observation (n_files<30),English-UK,1330
Nicole,0.0855125347225032,0.0211341581676276,5.20609796303451e-05,UK_long_longitudinal (n_files≥30),English-UK,1564
Penny,0.0416182640294154,0.0612805667997161,0.4970473000531542,UK_short_observation (n_files<30),English-UK,357
Samantha,-0.0276872793559952,0.0597968962307105,0.643348587436859,UK_short_observation (n_files<30),English-UK,1386
Sean,0.0508668401930343,0.0380796960404061,0.1816148056262366,UK_short_observation (n_files<30),English-UK,4918
Stella,0.0870643240029002,0.035768006152786,0.0149272323935275,UK_short_observation (n_files<30),English-UK,1484
Thomas,0.0161079297080085,0.015717940196712,0.3054520238794156,UK_long_longitudinal (n_files≥30),English-UK,166827
April,-0.008298134967009,0.0184018182531647,0.6520320474205912,NA_other_longitudinal (April),NA-Pool-April,667
