subcorpus,activity,count
Manchester,"Duplo Zoo , basket of food and doll",4
Manchester,"Duplo zoo , basket of food , doll , car with panda , and hoops .",2
Manchester,"Duplo zoo , basket of food , panda and car , hoops , doll",2
Manchester,"Duplo zoo , basket of food , doll , panda and car , hoops",2
Manchester,"basket of food , doll and Duplo zoo",2
Manchester,"Duplo Zoo , doll and basket of food",1
Manchester,"doll , Duplo zoo and basket of food",1
Manchester,putting a train+set together,1
UK_long_long,playing with toy kitchen,1
UK_long_long,"Duplo , doll , car and panda , basket of food , hoops , and a helicopter from the wug toys",1
UK_long_long,"Duplo zoo , basket of food , doll , panda and car , hoops",1
UK_short_obs,Free play alone,9
UK_short_obs,Watching TV,8
UK_short_obs,Free play with another child,7
UK_short_obs,Free play,6
UK_short_obs,Free play with adult participation,6
UK_short_obs,Talking,5
UK_short_obs,Other nonplay,5
UK_short_obs,Talk as the main activity,4
