window,subcorpus,binary_mean,binary_var,continuous_mean,continuous_var
3,Brown,0.4729585249901765,0.24893377353937393,0.24672487370912133,0.09364984285980482
3,Manchester,0.3587434252776959,0.22857455512854258,0.16734686065410823,0.06437391655162597
3,NA_other,0.41529235382308843,0.24318921620270953,0.20539730134932535,0.0797038917978448
3,UK_long_long,0.3488259880150211,0.22455271620965062,0.16032707143246172,0.06078033118571291
3,UK_short_obs,0.3377615099577686,0.21757809616435406,0.15929683758198196,0.06174810589477827
5,Brown,0.568284333602882,0.24464671937068508,0.23748333974993138,0.0722296446749978
5,Manchester,0.448278394493646,0.24552185332507062,0.15783979482441948,0.046572768397524486
5,NA_other,0.49775112443778113,0.25037031034032536,0.19377811094452774,0.060655674415044734
5,UK_long_long,0.4324610917305719,0.24263987515645807,0.1506414202578066,0.04448656697526486
5,UK_short_obs,0.4273326408013078,0.2370728937760379,0.15223616850321475,0.045941630202471904
7,Brown,0.6165391645058764,0.2358208099595551,0.23030756223259022,0.06311413445840007
7,Manchester,0.5063338923244106,0.2480648852975154,0.15178356853933586,0.038446853416492226
7,NA_other,0.5562218890554723,0.2472097284690988,0.19189333904476333,0.05285759147453299
7,UK_long_long,0.48741161468568517,0.24759716580302724,0.14553025662014116,0.037710481281509146
7,UK_short_obs,0.4847654705137174,0.24242495497908645,0.1492293023079195,0.03981369021449456
10,Brown,0.6682413768165433,0.2213921853346901,0.22503591956766425,0.05554371223437296
10,Manchester,0.5618877357427625,0.2441121339233767,0.14598485883403955,0.03232016332928129
10,NA_other,0.6071964017991005,0.23886705296000652,0.18635563170795555,0.04621764757603584
10,UK_long_long,0.5494234850907471,0.24523730504348173,0.1419443021323556,0.03216203360526041
10,UK_short_obs,0.5363662676023208,0.24131637948819398,0.14407231587044775,0.03470346214012885
15,Brown,0.7194732951231005,0.20152743293270992,0.21821013220880345,0.04972217946663454
15,Manchester,0.6279633912453773,0.23177306532856104,0.14132896346927018,0.02762591660300866
15,NA_other,0.671664167916042,0.22086254170212188,0.1781319463478384,0.04003293583449296
15,UK_long_long,0.618243171344514,0.23355542052963107,0.13856980021518714,0.028231206547379577
15,UK_short_obs,0.5989699946169486,0.23340546586790414,0.13922050732961172,0.029532750425196385
20,Brown,0.7560382268144282,0.18424647234051061,0.2156595213580117,0.0469540022365241
20,Manchester,0.6694303125250106,0.2195598503189478,0.13795638484374945,0.025299797026049543
20,NA_other,0.7076461769115442,0.20719370044707378,0.17094179142529967,0.03552105753229628
20,UK_long_long,0.6602926147675454,0.2218567452142115,0.13625886915783098,0.02615473111516714
20,UK_short_obs,0.6395681352916737,0.2242210578486529,0.13600474968656678,0.02696591522574801
